crop,N,P,K,temperature,humidity,ph,rainfall,yield
Lentil,16.95,63.95,24.82,19.82,49.51,6.72,36.8,1.12
Chickpea,49.37,56.37,74.36,14.6,37.98,7.43,81.75,2.12
Orange,127.7,65.81,72.28,22.51,76.45,7.23,140.67,17.77
Coconut,21.66,18.37,28.94,26.57,100.0,5.85,198.97,12.71
Mothbeans,19.43,52.83,14.49,29.5,49.51,7.21,38.78,0.72
Muskmelon,84.87,48.49,44.7,27.19,96.19,5.89,20.77,22.62
Mothbeans,24.39,35.5,16.7,21.79,46.49,6.34,62.26,0.68
Maize,141.43,58.38,51.48,30.64,62.21,6.06,65.41,5.6
Mothbeans,26.59,50.81,20.27,28.22,70.67,7.14,50.31,0.97
Lentil,19.61,72.27,20.07,23.38,48.74,7.31,60.9,1.37
Rice,110.42,46.56,47.75,22.55,76.04,6.68,229.44,3.18
Mothbeans,18.49,50.17,14.01,26.64,40.43,6.89,48.73,0.84
Banana,207.11,131.8,276.42,30.72,92.95,5.42,100.45,43.75
Maize,182.48,73.41,48.8,20.43,58.93,5.53,85.0,5.34
Apple,130.76,54.35,60.94,21.59,93.54,6.21,130.13,34.22
Apple,126.66,68.23,49.07,21.93,92.53,6.5,89.02,31.79
Coffee,89.46,98.06,89.17,30.39,53.1,7.35,231.14,1.23
Papaya,199.64,126.12,167.52,33.17,90.06,7.3,126.63,54.9
Mungbean,17.81,51.59,16.37,27.44,86.44,7.27,37.14,1.14
Orange,107.05,74.38,71.9,19.92,96.63,7.3,127.7,16.73
Muskmelon,83.41,61.96,44.25,29.48,81.11,6.21,23.75,23.04
Coffee,137.42,88.89,92.34,29.31,68.93,6.6,135.41,1.58
Orange,133.82,56.67,93.32,21.8,100.0,6.4,127.71,12.79
Coffee,140.68,66.29,92.87,29.55,50.65,5.97,177.82,1.37
Cotton,125.69,60.5,57.73,25.98,90.95,7.44,198.33,2.34
Muskmelon,76.67,52.06,65.85,25.49,85.35,6.3,18.95,21.48
Mothbeans,17.49,51.79,21.54,24.81,51.81,6.58,44.63,0.78
Mungbean,24.92,41.48,23.2,26.11,86.04,7.11,30.74,1.04
Lentil,17.06,51.52,16.86,22.81,68.0,7.33,46.04,1.42
Pomegranate,109.31,52.45,49.03,24.21,100.0,6.5,123.49,19.58
Banana,204.27,98.6,309.06,26.02,66.71,5.84,125.12,33.31
Mungbean,20.32,42.62,25.27,27.16,87.83,6.7,44.17,1.04
Coffee,110.09,71.65,82.04,27.2,58.47,6.82,159.84,1.41
Rice,94.94,43.37,43.07,25.72,87.62,6.11,147.62,3.38
Cotton,88.86,46.43,56.6,25.73,66.34,6.61,158.58,2.52
Chickpea,36.34,71.93,76.18,20.24,21.3,6.61,95.77,2.28
Rice,90.02,57.49,37.46,26.73,97.57,5.67,89.08,3.62
Mothbeans,21.78,45.9,17.11,30.1,46.45,6.93,58.37,0.68
Lentil,18.64,64.52,21.85,28.77,48.92,6.93,35.06,1.3
Papaya,192.86,131.26,151.48,36.17,98.89,7.21,153.89,41.39
Apple,87.14,38.25,76.54,21.97,84.57,6.0,114.53,24.58
Coffee,115.65,82.48,84.15,27.59,45.58,6.72,112.05,1.45
Mothbeans,19.92,52.97,15.93,31.51,68.32,5.93,49.03,0.82
Apple,91.59,62.69,53.77,20.79,92.14,6.19,110.58,30.53
Lentil,16.79,73.48,22.12,17.42,74.03,7.54,39.63,1.37
Coffee,120.32,67.99,86.06,26.44,59.66,7.41,111.39,1.31
Muskmelon,102.86,43.61,45.41,28.47,100.0,6.18,21.2,26.84
Blackgram,16.27,81.63,18.95,28.91,64.24,6.75,88.04,1.09
Mothbeans,24.33,48.42,16.87,26.9,48.56,6.67,36.91,1.03
Orange,100.51,49.8,79.92,16.05,90.74,6.4,108.09,13.97
Kidneybeans,24.42,68.0,18.93,19.48,10.0,6.01,105.45,1.46
Banana,220.27,88.8,276.34,28.82,70.18,6.02,107.22,45.21
Orange,96.94,74.5,86.99,28.73,85.17,7.01,100.24,17.21
Orange,125.53,54.29,77.08,20.56,86.26,7.19,89.36,19.23
Orange,118.81,70.4,82.56,25.76,100.0,7.4,98.71,18.06
Lentil,22.09,66.22,16.33,17.85,54.97,6.94,48.16,1.35
Watermelon,62.4,37.87,47.68,23.35,75.81,6.12,52.92,26.31
Papaya,163.73,79.21,202.5,31.44,88.47,6.12,119.72,54.2
Banana,237.9,120.99,320.68,26.02,73.37,5.39,128.95,47.13
Grapes,112.79,48.34,117.83,19.54,87.11,6.53,61.6,26.14
Cotton,109.16,48.24,52.52,12.97,75.86,6.8,174.36,2.78
Lentil,15.95,85.14,20.63,27.45,52.39,6.22,57.89,1.2
Apple,109.92,54.18,44.1,25.51,100.0,5.62,103.97,31.17
Muskmelon,112.05,48.94,48.27,29.5,96.53,6.11,26.83,28.39
Mungbean,21.52,34.81,19.08,26.82,94.75,6.64,60.64,1.02
Apple,115.33,54.55,68.94,26.57,72.64,6.63,109.69,35.58
Apple,123.28,58.95,50.71,25.28,98.29,6.82,125.0,29.25
Chickpea,36.63,75.23,82.2,16.79,10.0,6.41,58.37,2.55
Pigeonpeas,19.84,68.91,16.3,30.76,35.79,6.48,157.33,1.43
Apple,133.5,58.05,61.33,22.28,81.55,6.51,112.38,31.97
Pigeonpeas,22.45,49.05,17.98,27.54,57.58,5.66,133.34,1.78
Banana,213.51,128.26,319.55,24.84,97.14,5.95,85.7,51.81
Mango,131.38,92.48,146.18,34.52,57.38,4.1,119.84,10.71
Kidneybeans,18.46,68.64,24.63,24.18,25.05,5.81,103.81,1.36
Maize,116.96,62.16,51.24,20.05,62.5,6.28,73.02,5.74
Papaya,164.34,125.22,213.3,33.2,86.39,6.75,142.98,48.79
Apple,145.48,55.0,54.96,25.47,100.0,4.93,95.93,30.27
Muskmelon,86.1,43.9,47.96,26.34,96.14,6.77,25.17,25.87
Maize,135.23,52.94,46.15,29.56,85.1,6.1,82.37,4.91
Orange,111.83,64.76,76.75,24.04,74.32,6.98,88.31,18.92
Cotton,93.98,49.18,56.11,19.39,74.34,7.55,130.91,2.47
Mothbeans,19.86,46.61,18.17,33.97,45.51,7.26,42.44,0.95
Pomegranate,102.3,52.77,54.18,20.55,93.96,7.17,138.86,16.97
Maize,177.84,63.5,55.2,23.75,73.58,5.97,93.14,4.67
Coconut,27.57,18.04,30.94,25.94,88.43,6.42,152.75,15.34
Grapes,97.88,70.33,110.17,25.28,66.87,5.67,58.18,26.61
Pomegranate,82.32,47.93,51.29,29.05,96.98,6.44,94.66,18.19
Coconut,25.52,18.89,27.6,23.5,94.73,6.5,155.94,11.99
Watermelon,93.68,59.63,44.1,23.16,74.12,6.52,55.12,34.38
Coconut,30.52,12.26,28.48,26.94,100.0,6.27,181.86,11.33
Chickpea,40.18,74.86,78.3,19.1,31.21,6.42,77.46,1.55
Orange,95.78,68.74,73.33,18.26,78.82,6.18,140.71,14.66
Orange,115.65,39.25,86.25,24.2,86.17,7.03,103.09,17.14
Mungbean,15.6,42.52,18.99,25.58,79.8,6.19,44.98,0.97
Mothbeans,19.13,51.68,21.65,24.16,57.9,7.28,54.53,0.99
Kidneybeans,17.53,59.68,21.31,15.79,14.27,5.0,114.78,1.27
Coconut,26.05,17.74,28.19,21.01,81.15,6.11,220.67,12.13
Watermelon,96.34,60.7,50.31,21.62,81.4,6.48,43.23,42.39
Cotton,103.36,34.49,48.18,27.2,68.89,7.23,187.13,2.35
Jute,43.31,26.39,67.13,22.39,60.93,7.12,154.69,2.36
Watermelon,95.57,44.61,56.46,25.5,87.66,6.34,38.03,30.33
Banana,166.47,90.79,318.93,30.1,74.51,5.7,92.47,43.41
Mothbeans,17.43,68.09,19.31,25.52,44.67,7.39,67.79,0.9
Pomegranate,91.15,58.69,47.58,22.6,81.23,6.62,129.67,18.2
Apple,126.14,52.7,57.11,26.87,88.49,5.88,67.69,28.32
Watermelon,61.72,54.8,42.86,23.31,89.34,6.49,61.39,36.06
Chickpea,29.95,52.12,68.76,17.13,10.0,7.84,65.42,2.06
Orange,99.54,47.03,50.81,23.32,84.48,6.6,103.09,13.34
Pomegranate,89.81,56.5,44.82,24.82,97.79,6.17,113.05,17.6
Muskmelon,61.82,51.7,39.95,29.06,92.81,5.6,30.53,18.64
Grapes,91.61,68.36,78.6,19.09,86.32,5.76,75.98,23.45
Grapes,77.43,57.65,133.96,26.7,86.47,5.88,50.49,22.91
Mungbean,22.5,49.36,20.96,36.98,100.0,6.45,56.04,1.1
Kidneybeans,20.34,59.02,19.04,22.89,29.69,4.38,70.96,1.18
Pigeonpeas,20.67,74.09,19.56,29.57,44.26,6.19,134.86,1.43
Banana,228.04,89.54,267.11,31.01,68.31,6.08,134.13,40.38
Chickpea,35.4,71.1,76.05,18.02,12.5,6.65,100.26,2.38
Rice,106.43,35.61,38.91,22.28,84.68,7.06,211.35,3.17
Pomegranate,104.75,42.48,55.9,20.04,94.82,7.14,128.03,22.13
Blackgram,15.07,49.87,16.84,31.82,76.6,6.39,85.01,1.26
Orange,157.46,56.84,78.39,17.9,86.13,6.4,114.29,16.0
Kidneybeans,15.05,62.65,20.86,16.88,10.0,6.58,84.57,1.35
Jute,49.58,61.41,73.97,18.81,85.37,6.76,152.03,2.53
Papaya,197.94,111.24,164.18,31.16,100.0,7.3,157.19,60.88
Chickpea,40.92,55.08,69.61,21.61,10.0,6.74,60.37,2.04
Mango,158.34,99.38,155.01,34.25,64.38,5.67,60.42,10.46
Lentil,11.84,81.19,19.0,25.7,77.56,7.19,35.05,1.37
Papaya,225.09,126.76,161.73,32.93,100.0,6.92,154.01,60.63
Grapes,113.87,40.21,105.92,21.37,70.11,5.55,72.65,18.97
Watermelon,84.82,48.86,42.93,24.91,71.62,6.09,47.16,28.39
Jute,43.5,43.5,66.86,20.69,55.13,6.51,151.9,2.97
Jute,52.63,38.29,61.05,27.42,58.61,6.51,165.74,3.2
Rice,78.85,43.0,46.13,26.59,76.98,6.4,257.28,3.79
Watermelon,60.52,48.14,54.93,25.99,76.96,5.63,46.61,27.64
Jute,59.83,43.33,57.87,19.21,65.12,6.39,113.06,2.72
Chickpea,49.94,58.09,72.77,16.91,10.51,7.44,71.42,2.33
Mungbean,21.49,42.32,20.65,28.31,78.04,7.32,51.69,1.15
Orange,120.28,61.44,63.31,16.0,100.0,7.74,124.22,15.06
Chickpea,43.1,74.52,92.05,20.41,10.0,7.08,68.27,2.48
Jute,50.96,44.75,42.65,20.91,68.68,6.93,207.9,2.71
Orange,143.26,58.48,80.28,24.9,93.21,6.73,107.31,19.5
Muskmelon,101.37,43.16,49.18,27.8,100.0,6.31,32.21,28.53
Maize,141.3,55.97,49.1,21.64,74.31,7.04,73.97,4.84
Banana,182.62,81.2,291.4,27.29,59.34,6.33,102.14,44.21
Pomegranate,98.04,51.98,34.81,23.75,85.53,6.3,82.57,19.8
Mothbeans,21.54,57.19,19.33,27.2,48.56,6.48,46.67,1.18
Banana,230.93,115.3,339.22,29.84,69.11,5.65,94.85,47.07
Lentil,19.86,77.88,20.78,20.13,55.6,6.84,52.53,1.28
Mothbeans,20.36,47.95,16.9,28.67,66.18,6.7,53.45,0.85
Papaya,155.49,56.1,190.47,32.9,80.99,5.92,135.22,50.77
Blackgram,19.81,60.39,16.62,27.19,59.29,6.59,39.46,1.13
Pigeonpeas,20.13,64.11,22.08,27.54,52.51,6.81,153.8,1.61
Mothbeans,16.23,65.19,20.74,30.83,46.65,7.13,45.86,0.99
Apple,139.17,75.48,62.88,22.2,88.76,5.92,70.38,32.91
Orange,155.46,52.09,80.55,23.13,87.02,7.51,80.03,13.67
Cotton,98.39,29.51,38.36,21.53,89.68,6.91,258.72,2.46
Pigeonpeas,15.02,73.84,16.71,30.0,46.03,5.12,159.94,1.32
Kidneybeans,17.56,36.66,21.19,17.86,22.13,5.67,78.46,1.15
Blackgram,12.1,45.21,18.17,26.8,54.07,7.92,52.96,1.05
Cotton,101.91,41.51,46.65,22.87,73.77,6.72,199.17,2.54
Coffee,121.43,76.09,90.33,24.81,62.82,6.9,163.38,1.34
Mungbean,21.58,49.25,23.92,32.05,91.27,6.87,57.84,1.12
Coconut,23.94,17.44,33.09,19.55,98.88,5.48,136.28,11.37
Maize,137.39,46.11,62.23,29.45,55.77,6.86,55.37,4.43
Coffee,151.99,91.04,103.92,29.19,72.68,6.85,168.71,1.02
Cotton,113.9,66.95,56.49,23.6,81.33,6.89,252.02,2.49
Lentil,20.69,70.28,14.84,22.94,63.01,7.18,39.11,1.21
Lentil,14.89,63.87,24.93,25.39,65.1,6.33,30.72,1.22
Blackgram,15.69,51.18,19.92,27.86,64.74,7.41,73.32,1.16
Blackgram,21.3,53.57,15.05,33.35,62.39,7.89,51.03,1.34
Cotton,112.01,50.42,47.21,18.22,96.05,6.73,181.91,2.71
Maize,112.68,78.82,59.63,26.39,57.88,6.43,116.09,5.26
Apple,113.85,62.14,53.66,22.22,100.0,5.51,107.01,32.47
Cotton,127.22,49.36,59.53,23.61,69.77,6.51,219.7,2.58
Muskmelon,75.18,59.83,40.41,27.67,97.7,5.7,25.96,22.61
Grapes,77.88,62.86,105.78,22.18,58.6,6.27,65.2,24.76
Papaya,157.75,129.27,176.46,34.97,92.27,5.69,168.12,57.22
Mungbean,23.61,54.62,14.4,30.03,92.52,7.46,55.0,0.88
Lentil,18.8,68.2,22.22,20.26,59.14,6.71,46.89,1.59
Rice,87.92,40.99,46.32,25.33,98.29,6.76,158.3,3.16
Watermelon,68.6,46.42,53.21,25.91,98.2,6.51,41.03,28.45
Watermelon,77.78,38.59,57.67,23.18,78.79,6.53,53.7,34.48
Chickpea,47.47,71.61,78.03,19.25,14.73,6.55,73.8,2.29
Jute,40.72,45.42,76.05,22.72,81.03,6.59,181.93,3.06
Papaya,192.72,118.69,203.18,32.97,97.45,7.08,123.01,57.37
Banana,254.22,104.77,314.04,27.65,65.12,6.53,113.6,44.08
Lentil,17.01,86.26,18.79,20.25,70.69,6.28,27.01,1.16
Chickpea,37.35,67.52,82.86,22.63,22.63,7.47,48.58,2.52
Grapes,134.89,59.59,112.24,27.05,64.24,6.36,44.22,25.96
Jute,51.15,42.06,49.62,24.54,80.51,7.44,171.11,3.26
Papaya,183.12,142.87,155.28,33.98,87.12,6.37,95.69,60.95
Pigeonpeas,22.07,60.79,21.08,27.09,55.61,5.64,132.75,1.47
Banana,160.28,69.56,255.13,26.78,66.73,4.9,73.7,33.82
Watermelon,67.5,46.49,56.07,27.88,76.63,6.35,63.57,29.3
Maize,144.76,75.33,33.82,19.46,54.32,6.57,74.91,4.83
Maize,149.58,73.95,46.92,22.58,70.18,6.77,81.67,4.38
Pigeonpeas,23.92,73.13,21.61,26.65,37.5,5.83,133.62,1.53
Apple,136.77,58.41,60.59,25.16,82.95,5.73,126.86,30.01
Blackgram,16.92,58.22,16.29,23.89,42.82,6.88,59.67,0.96
Watermelon,69.72,42.47,56.88,23.98,74.14,6.29,31.8,29.5
Muskmelon,46.26,52.61,58.13,27.22,93.79,6.89,14.46,20.7
Cotton,95.19,66.16,54.85,19.58,82.96,5.87,187.32,2.76
Banana,230.9,79.65,306.52,24.64,75.33,6.13,134.9,36.42
Papaya,176.63,144.59,148.6,40.08,100.0,7.0,104.57,51.86
Lentil,22.89,57.82,20.64,19.3,76.03,6.27,53.25,1.34
Mango,155.48,89.13,155.89,27.83,51.19,6.15,103.59,11.71
Orange,124.18,49.69,82.23,20.37,88.87,7.59,151.48,17.24
Banana,208.06,111.45,293.29,26.93,84.07,5.16,91.22,41.72
Cotton,123.21,58.21,51.38,28.77,78.2,6.34,184.43,2.36
Grapes,123.78,61.37,80.84,24.31,92.01,5.24,84.74,19.14
Apple,114.66,48.96,71.49,17.13,92.01,5.48,89.93,31.28
Pigeonpeas,20.53,64.61,23.95,31.98,43.87,5.69,210.36,1.35
Apple,139.86,54.02,45.17,20.65,89.44,4.93,88.38,31.86
Blackgram,17.19,70.41,17.41,28.07,71.35,6.27,65.66,1.35
Jute,59.91,40.67,77.52,27.84,75.56,7.11,173.52,3.05
Banana,193.16,100.61,258.32,27.98,74.47,6.18,137.63,45.79
Lentil,16.5,83.66,24.22,27.86,69.26,6.26,66.93,1.22
Mothbeans,22.49,37.17,20.85,32.74,46.03,6.5,53.96,0.98
Coffee,108.25,65.37,83.3,24.84,60.14,6.14,129.81,1.14
Pomegranate,87.48,52.2,43.61,17.48,100.0,6.52,108.02,21.18
Mungbean,17.62,36.6,21.08,24.73,87.91,6.57,42.42,0.98
Watermelon,70.06,37.03,49.52,24.19,85.33,6.3,56.92,29.0
Lentil,24.16,61.02,18.85,18.75,53.0,6.71,41.15,1.25
Cotton,93.07,61.97,50.36,23.64,70.93,6.47,177.02,2.5
Watermelon,90.61,43.93,49.99,30.01,70.01,5.81,60.05,36.17
Cotton,115.81,37.14,57.11,22.38,77.2,7.18,207.86,2.73
Coconut,33.0,14.54,29.49,23.38,100.0,6.3,171.42,13.58
Muskmelon,66.88,53.03,48.83,27.2,100.0,5.63,27.91,19.34
Rice,80.38,48.28,35.71,26.58,76.7,6.7,189.77,3.77
Blackgram,16.86,61.0,18.33,29.97,42.9,7.19,66.43,1.19
Banana,187.34,81.27,303.88,23.71,65.98,5.76,104.45,43.09
Mango,179.42,108.85,150.39,31.92,50.85,5.39,109.19,11.52
Maize,133.84,57.7,47.35,26.91,64.27,6.3,92.65,4.91
Pomegranate,87.89,48.13,56.04,20.08,82.51,6.61,143.54,14.87
Pomegranate,99.51,48.47,59.83,26.14,99.06,6.33,98.87,24.34
Coffee,140.38,65.76,92.58,25.25,58.81,6.51,202.13,1.23
Coffee,96.58,64.18,74.85,23.46,48.79,6.55,199.51,1.15
Coconut,28.7,15.11,33.06,25.25,92.13,6.84,147.87,12.69
Jute,56.09,55.77,41.32,27.04,100.0,5.81,188.89,3.29
Orange,149.52,55.71,86.35,22.16,100.0,6.62,78.87,19.08
Coffee,89.72,60.05,78.22,23.12,46.05,5.96,153.87,1.17
Rice,97.65,37.65,43.25,23.01,100.0,6.48,207.49,3.91
Mungbean,23.89,40.05,15.53,31.27,81.71,5.91,47.9,1.17
Cotton,79.0,59.16,49.57,23.02,79.32,7.19,168.02,2.58
Jute,56.57,42.98,61.53,18.45,78.12,6.46,193.0,2.93
Lentil,20.0,69.03,21.02,20.65,64.78,6.07,46.32,1.27
Maize,111.14,68.3,45.42,24.91,71.86,5.82,75.28,5.2
Lentil,22.24,56.6,21.6,28.15,50.47,6.56,50.21,1.12
Coconut,29.73,14.93,24.36,27.76,82.52,5.61,171.32,13.53
Grapes,98.22,79.06,118.57,23.39,70.67,6.32,54.64,27.82
Kidneybeans,16.71,76.91,14.9,19.33,12.58,5.57,146.02,1.15
Muskmelon,76.75,47.47,44.36,29.02,93.71,6.74,29.24,22.65
Coffee,113.87,80.48,101.35,19.76,70.6,7.0,161.51,1.1
Banana,192.57,98.93,336.12,30.55,67.06,5.03,148.51,46.0
Papaya,185.71,90.78,158.85,34.76,90.71,6.47,129.12,49.25
Muskmelon,75.01,48.64,40.19,27.17,83.26,6.17,27.35,22.26
Lentil,19.71,70.37,17.1,21.33,45.89,7.56,48.01,1.21
Kidneybeans,24.43,64.63,18.82,17.66,43.79,6.14,99.86,1.39
Maize,109.81,67.02,48.21,27.53,79.89,6.5,71.84,4.63
Rice,95.51,34.67,46.35,27.14,77.71,5.75,163.2,3.98
Kidneybeans,18.22,71.86,22.55,15.16,31.71,5.67,142.9,1.25
Apple,119.49,41.44,58.08,24.41,89.12,6.37,118.24,31.57
Mothbeans,18.72,52.03,15.57,25.27,41.17,7.28,53.18,0.69
Banana,167.61,102.64,277.59,29.24,66.71,5.55,136.85,45.03
Cotton,87.93,57.51,42.47,22.02,80.22,7.07,158.99,2.18
Grapes,122.34,64.08,122.88,22.86,97.57,5.63,73.16,24.6
Grapes,109.1,67.14,140.82,27.12,73.0,4.92,75.98,24.95
Watermelon,77.07,54.03,56.04,27.48,78.5,6.4,65.74,33.85
Lentil,14.54,61.58,19.82,24.8,61.62,6.43,53.01,0.99
Mango,148.48,112.25,138.16,30.04,42.66,4.66,90.46,9.6
Pigeonpeas,21.88,67.49,15.52,26.67,50.65,6.16,177.05,1.69
Orange,135.27,48.69,71.44,27.83,89.82,7.85,139.87,14.5
Watermelon,82.45,48.84,47.99,28.03,94.91,6.99,64.53,30.99
Jute,50.2,37.43,63.34,28.08,81.63,5.99,177.04,3.11
Apple,118.34,37.58,59.53,20.21,82.31,6.17,130.36,30.65
Rice,73.54,41.44,49.2,18.47,93.64,7.27,238.94,3.78
Mungbean,18.22,37.95,22.0,27.34,73.52,6.5,53.34,0.97
Mothbeans,18.91,45.29,16.35,28.61,63.34,6.68,50.71,0.91
Pomegranate,96.15,61.75,56.29,21.61,100.0,6.57,81.02,19.87
Grapes,123.25,60.9,127.23,22.09,86.05,5.9,75.49,21.03
Papaya,144.57,100.67,156.35,29.33,73.87,7.19,156.25,38.26
Chickpea,48.64,56.84,64.75,19.62,12.07,6.5,81.78,2.15
Muskmelon,65.62,52.59,48.07,31.89,100.0,5.99,26.1,20.63
