crop,N,P,K,temperature,humidity,ph,rainfall,yield
Rice,52,42,32,22.1,91.7,5.57,210.3,3.51
Rice,58,44,47,21.9,86.6,7.44,226.5,3.85
Rice,92,23,47,20.9,97.2,5.74,213.9,3.68
Rice,80,28,36,24.1,78.2,6.02,243.2,3.86
Rice,40,45,35,26.1,89.9,6.24,252.1,3.51
Rice,77,29,28,27.3,89.2,6.13,217.2,3.58
Rice,62,28,23,23.2,96.4,7.29,252.7,3.5
Rice,56,35,20,22.0,79.7,6.8,243.6,3.54
Rice,64,25,33,27.9,91.7,5.69,204.8,3.49
Rice,75,29,42,26.4,87.7,5.91,210.0,3.56
Rice,53,33,43,19.9,79.2,5.9,248.2,3.76
Rice,67,26,38,19.3,90.2,5.73,261.5,3.54
Rice,49,46,34,19.7,73.8,6.42,268.9,3.76
Rice,77,47,36,28.3,94.8,6.93,246.6,3.81
Rice,86,35,45,26.3,81.2,6.01,213.3,3.96
Rice,82,34,37,21.8,68.1,6.05,215.8,3.69
Rice,70,23,26,25.9,88.8,6.32,194.9,3.51
Rice,63,25,31,27.9,84.8,7.2,254.5,3.62
Rice,61,20,29,26.4,93.6,6.34,278.8,3.5
Rice,70,36,26,21.3,79.9,6.18,191.5,3.68
Rice,62,24,33,20.4,86.0,6.29,191.3,3.54
Rice,41,37,23,23.6,67.2,5.94,224.6,3.41
Rice,82,30,41,27.2,73.9,5.56,196.5,3.72
Rice,95,29,38,26.7,87.0,7.38,260.0,3.63
Rice,41,24,23,25.6,84.1,6.89,209.4,3.46
Rice,49,37,40,20.3,92.5,5.74,279.9,3.41
Rice,57,38,46,23.0,89.1,6.87,196.0,3.81
Rice,45,41,43,25.0,69.6,7.05,281.7,3.62
Rice,63,30,34,22.5,93.5,5.73,266.4,3.74
Rice,75,43,39,23.4,89.7,6.05,279.9,3.96
Rice,70,33,32,26.2,74.4,7.14,269.2,3.48
Rice,89,26,33,25.1,78.0,7.18,191.5,3.56
Rice,51,42,29,27.7,88.6,5.54,214.9,3.74
Rice,44,40,33,26.5,88.3,6.48,249.8,3.76
Rice,45,26,39,22.1,84.7,6.56,233.5,3.6
Rice,81,29,39,21.8,73.8,5.9,200.2,3.57
Rice,70,41,25,21.3,81.5,7.43,257.2,3.68
Rice,55,22,25,21.4,71.5,6.57,190.1,3.29
Rice,94,35,39,20.4,94.1,7.23,235.1,3.84
Rice,66,32,25,19.7,96.5,7.13,233.9,3.48
Rice,44,37,21,20.6,84.1,7.46,217.5,3.31
Rice,82,36,42,21.4,82.7,6.39,231.3,4.07
Rice,95,28,37,25.1,89.9,5.93,278.3,3.62
Rice,76,24,24,19.9,65.7,6.68,231.3,3.42
Rice,52,39,39,23.6,88.1,7.06,276.0,3.75
Rice,77,46,31,24.4,86.8,7.14,274.6,3.64
Rice,49,28,40,24.7,75.1,6.87,200.5,3.67
Rice,92,34,33,20.0,66.9,6.15,229.6,3.64
Rice,45,46,43,24.7,96.8,6.84,283.2,3.62
Rice,42,41,33,25.5,95.6,6.67,205.9,3.65
Rice,67,22,29,22.4,87.6,6.17,269.8,3.58
Rice,56,46,42,24.5,80.5,6.16,218.5,4.06
Rice,62,34,47,25.5,83.4,5.89,227.8,3.75
Rice,82,37,41,21.2,83.6,6.38,276.4,3.94
Rice,46,47,37,21.5,70.8,6.6,240.8,3.58
Rice,95,45,32,20.3,92.9,6.92,235.8,3.86
Rice,55,43,47,21.5,83.7,7.32,225.0,3.83
Rice,89,44,27,26.8,79.2,6.52,277.0,3.94
Rice,55,28,36,28.8,81.7,6.58,202.8,3.52
Rice,70,35,32,22.3,71.8,6.64,254.6,3.6
Rice,83,21,40,26.0,92.2,6.82,225.2,3.82
Rice,94,33,21,24.0,85.0,7.23,270.9,3.64
Rice,69,32,40,23.1,87.1,6.44,203.4,3.94
Rice,58,39,38,27.4,93.6,6.27,269.9,3.61
Rice,80,41,44,19.5,67.8,7.32,248.4,4.03
Rice,81,32,22,25.3,94.2,6.88,230.7,3.78
Rice,42,42,28,22.8,70.4,6.63,238.9,3.73
Rice,49,22,44,25.1,73.5,5.8,275.0,3.52
Rice,54,27,20,26.9,95.2,5.83,252.8,3.34
Rice,59,36,37,23.3,73.8,5.91,268.6,3.64
Rice,67,26,36,24.7,98.2,7.43,216.7,3.63
Rice,55,35,39,26.3,67.2,6.49,246.0,3.84
Rice,56,42,36,22.6,86.5,6.85,247.4,3.86
Rice,76,43,37,27.9,86.8,6.38,218.0,3.89
Rice,81,22,28,26.4,71.4,6.58,201.3,3.72
Rice,69,45,43,21.7,92.6,7.1,234.3,3.98
Rice,58,23,46,20.6,97.3,6.94,270.0,3.71
Rice,94,42,30,26.8,66.1,6.41,239.5,3.89
Rice,77,36,43,28.2,69.2,5.57,210.9,3.89
Rice,71,45,26,19.8,92.6,6.11,274.6,3.61
Rice,47,46,28,23.9,68.8,5.79,272.6,3.57
Rice,77,40,46,23.2,89.9,6.33,203.4,3.75
Rice,67,31,46,19.5,77.8,7.38,230.7,3.86
Rice,45,39,35,28.6,77.4,5.9,226.4,3.48
Rice,87,32,38,25.4,85.2,7.06,190.8,3.69
Rice,47,35,21,26.5,72.4,7.22,209.2,3.36
Rice,48,45,20,27.4,70.3,6.01,201.1,3.36
Rice,77,20,20,26.8,73.4,5.86,219.4,3.28
Rice,81,34,40,23.8,91.1,5.74,237.2,3.85
Rice,92,21,41,27.5,82.7,7.4,232.0,3.57
Rice,66,31,39,23.9,95.4,5.68,195.7,3.68
Rice,43,27,37,24.5,76.3,6.56,282.7,3.52
Rice,73,22,39,27.4,87.0,6.93,261.4,3.52
Rice,65,26,29,23.6,79.2,6.36,197.8,3.64
Rice,60,24,45,19.8,92.9,5.71,197.6,3.63
Rice,85,35,36,24.6,76.4,6.21,200.3,3.88
Rice,82,44,40,28.5,85.3,6.65,222.0,3.81
Rice,76,26,23,27.3,77.7,6.64,260.8,3.65
Rice,87,47,42,25.1,86.7,7.34,191.3,4.06
Rice,54,25,39,22.2,76.7,7.22,189.4,3.55
Rice,62,23,37,19.5,90.1,6.34,209.1,3.48
Rice,60,40,41,24.6,68.4,5.83,193.8,3.76
Rice,77,27,38,23.9,80.1,7.0,214.6,3.61
Rice,64,27,38,23.9,87.5,6.3,193.1,3.69
Rice,40,28,25,20.5,74.0,5.54,219.8,3.43
Rice,49,30,39,24.0,92.9,5.67,264.9,3.71
Rice,42,20,45,27.5,84.5,6.91,242.9,3.51
Rice,46,20,29,26.9,85.9,7.32,267.3,3.21
Rice,87,26,36,24.2,78.6,6.19,218.1,3.72
Rice,49,34,23,24.1,95.3,6.94,221.8,3.61
Rice,85,26,24,21.1,85.4,6.8,260.6,3.48
Rice,83,33,41,26.5,80.3,6.63,276.0,3.88
Rice,74,44,37,20.6,67.8,6.12,230.5,3.74
Rice,43,34,28,23.5,67.5,5.67,267.3,3.58
Rice,87,37,34,23.6,83.8,7.27,263.5,3.82
Rice,85,38,29,23.8,70.5,5.73,194.6,3.87
Rice,59,40,34,20.9,73.7,6.38,230.1,3.73
Rice,48,30,27,23.1,76.7,7.06,245.2,3.57
Rice,43,22,38,21.9,89.3,7.29,250.8,3.6
Rice,58,36,23,22.6,97.3,6.29,254.7,3.57
Rice,92,28,30,26.8,92.3,7.14,252.1,3.74
Rice,78,34,38,23.3,77.5,5.88,223.0,3.71
Rice,93,33,26,20.5,68.1,5.72,268.5,3.7
Rice,86,44,21,22.4,90.7,6.26,201.2,3.61
Rice,86,41,42,20.8,80.0,6.84,227.6,3.86
Rice,64,27,40,23.5,83.1,7.1,218.0,3.7
Rice,86,30,46,28.7,80.7,6.27,215.4,3.85
Rice,94,42,42,20.5,73.8,7.23,249.3,3.94
Rice,45,43,43,21.9,90.6,7.29,214.6,3.59
Rice,64,46,26,23.5,77.1,5.63,191.3,3.66
Rice,53,47,30,19.5,96.1,6.79,268.0,3.69
Rice,47,28,43,25.9,70.2,6.4,255.4,3.44
Rice,44,27,43,24.5,89.5,5.74,238.6,3.55
Rice,56,21,31,26.8,80.6,7.29,199.3,3.47
Rice,40,34,26,20.6,79.7,5.99,246.8,3.45
Rice,77,22,47,19.8,82.9,7.45,236.7,3.73
Rice,61,33,37,28.6,73.9,7.06,190.3,3.52
Rice,81,37,41,26.3,76.5,6.59,193.0,3.96
Rice,49,41,33,25.9,86.3,5.65,265.4,3.73
Rice,65,28,21,21.1,67.0,6.53,276.9,3.59
Rice,70,27,41,21.0,77.3,7.21,262.5,3.61
Rice,46,30,44,26.3,94.9,7.42,225.3,3.59
Rice,67,45,34,26.9,89.4,6.7,196.3,3.87
Rice,70,28,22,25.5,75.7,6.36,245.7,3.64
Rice,59,21,44,22.6,98.3,7.44,214.7,3.71
Rice,44,37,30,26.9,87.9,5.8,278.7,3.54
Rice,83,20,21,26.7,77.6,6.63,224.9,3.57
Rice,78,46,30,26.5,84.4,6.3,238.8,3.92
Rice,53,23,40,24.0,78.3,6.04,241.8,3.55
Rice,64,47,27,28.0,81.7,7.19,200.4,3.64
Rice,90,32,22,25.7,93.3,6.2,219.0,3.49
Rice,70,44,43,26.0,96.0,7.07,249.0,3.86
Rice,46,25,23,26.8,66.5,6.24,241.1,3.47
Rice,70,37,22,22.2,98.4,6.55,256.7,3.69
Rice,86,22,47,25.4,80.4,6.2,253.0,3.96
Rice,83,37,25,28.5,79.8,5.63,274.8,3.49
Rice,48,24,29,26.0,76.9,7.27,277.6,3.51
Rice,54,37,35,20.4,75.5,6.51,239.2,3.57
Rice,92,24,38,26.1,85.4,6.62,268.3,3.87
Rice,41,21,37,24.7,87.0,6.34,261.2,3.54
Rice,67,37,28,28.4,81.4,6.86,264.8,3.56
Rice,44,21,32,23.8,72.3,6.13,246.1,3.54
Rice,81,44,47,20.5,77.8,6.15,241.8,3.96
Rice,54,26,22,22.0,78.2,6.01,246.9,3.58
Rice,48,29,36,22.2,90.6,6.53,235.8,3.62
Rice,57,20,46,24.1,97.3,6.21,209.1,3.43
Rice,67,44,38,23.7,83.2,6.37,268.8,4.03
Rice,80,41,30,23.0,84.3,6.6,207.2,3.66
Rice,68,41,27,28.7,87.9,7.43,200.0,3.56
Rice,84,29,46,26.4,72.1,6.5,236.9,3.68
Rice,47,29,33,23.6,85.5,6.16,237.5,3.65
Rice,49,47,40,22.1,76.6,6.56,267.0,3.85
Rice,56,42,30,25.7,97.7,7.08,243.9,3.73
Rice,78,20,33,28.5,91.3,6.65,262.1,3.63
Rice,72,24,37,25.1,93.2,6.85,202.8,3.45
Rice,93,23,20,22.2,70.6,6.33,254.0,3.64
Rice,91,44,40,19.8,70.1,6.16,208.4,3.95
Rice,69,28,24,28.0,76.8,7.03,222.2,3.6
Rice,76,39,37,21.0,73.7,5.96,241.5,3.99
Rice,56,28,25,26.0,76.0,7.35,221.7,3.57
Rice,55,23,38,22.8,97.7,7.39,266.1,3.59
Rice,56,28,39,22.5,80.1,6.46,213.0,3.57
Rice,70,46,39,20.5,85.8,6.0,244.2,3.92
Rice,69,37,21,23.2,89.1,7.03,198.3,3.4
Rice,70,46,31,28.2,94.4,5.91,233.9,3.9
Rice,57,38,45,20.1,84.4,6.94,239.3,3.96
Rice,91,24,44,20.9,95.8,6.3,282.9,3.71
Rice,92,46,45,27.6,65.9,5.73,242.4,4.11
Rice,55,47,35,23.9,96.4,6.44,269.1,3.62
Rice,46,24,32,21.7,71.7,7.07,258.3,3.45
Rice,82,24,43,27.8,92.7,5.69,237.4,3.77
Rice,50,23,29,21.6,74.2,6.99,211.0,3.57
Rice,56,40,20,25.5,88.3,5.76,194.7,3.44
Rice,62,34,45,26.0,75.8,7.31,199.9,3.64
Rice,74,26,23,20.7,90.1,6.34,246.0,3.56
Rice,66,35,38,21.3,73.7,7.23,260.0,3.53
Rice,65,39,22,24.6,67.6,6.51,240.5,3.67
Rice,48,29,34,20.3,72.3,5.7,243.8,3.5
Rice,85,32,34,23.6,67.5,7.1,232.4,3.85
Rice,62,42,40,24.8,67.1,5.65,221.3,3.95
Rice,92,21,46,19.5,79.0,7.02,261.4,3.9
Rice,76,31,47,22.9,94.1,6.26,274.4,3.84
Rice,77,35,38,22.5,71.5,6.56,239.5,3.92
Rice,52,20,20,22.1,87.7,6.56,240.2,3.5
Rice,53,29,27,28.2,89.4,7.1,199.5,3.39
Rice,82,44,20,21.2,68.9,6.69,192.0,3.73
Rice,42,40,31,21.4,72.7,5.64,270.3,3.52
Rice,56,42,40,22.3,85.2,6.15,252.3,3.73
Rice,48,38,26,22.1,67.6,7.24,278.3,3.6
Rice,75,31,33,28.5,96.5,7.06,252.2,3.54
Rice,63,24,30,26.4,81.1,6.11,269.0,3.6
Rice,85,45,35,28.5,83.9,6.0,201.5,3.73
Rice,76,45,43,20.1,89.4,6.05,206.8,3.94
Rice,73,44,25,26.5,89.4,6.46,241.6,3.9
Rice,58,46,20,28.2,97.2,7.47,199.9,3.46
Rice,53,36,25,28.0,83.7,6.27,262.0,3.55
Rice,60,27,34,24.0,68.8,6.44,281.4,3.69
Rice,91,30,31,24.6,72.9,6.03,202.6,3.87
Rice,72,31,24,22.4,78.1,6.5,267.5,3.67
Rice,78,27,43,28.5,86.6,5.85,235.1,3.86
Rice,49,40,33,28.0,83.4,5.64,249.4,3.46
Rice,87,46,38,26.5,79.1,5.98,268.3,3.99
Rice,40,34,30,25.1,87.5,6.47,247.0,3.57
Rice,40,35,20,24.3,74.6,5.56,281.1,3.48
Rice,77,42,45,20.2,68.8,5.9,202.9,3.83
Rice,85,27,31,22.8,78.9,7.46,242.1,3.6
Rice,78,43,38,27.4,90.5,6.26,197.6,3.84
Rice,43,20,24,24.0,79.8,6.63,262.8,3.51
Rice,45,34,21,21.2,94.1,6.45,272.6,3.25
Rice,44,45,45,24.6,66.7,6.14,276.5,3.9
Rice,72,41,39,23.0,68.1,5.99,204.1,3.92
Rice,61,45,29,26.5,70.2,6.94,282.1,3.63
Rice,94,21,32,27.3,76.8,7.39,261.4,3.56
Rice,83,20,27,28.7,81.7,7.36,222.4,3.5
Rice,78,38,22,25.1,91.8,5.68,256.1,3.51
Rice,79,37,40,22.2,69.1,6.13,189.3,3.72
Rice,55,23,25,23.5,83.8,5.58,227.3,3.42
Rice,45,36,29,22.9,75.2,5.69,225.4,3.7
Rice,90,47,36,20.8,78.1,6.11,201.9,3.88
Rice,43,32,31,23.8,68.1,6.01,212.6,3.55
Rice,73,25,22,22.1,96.7,6.73,220.2,3.6
Rice,58,29,42,27.5,97.6,6.15,201.7,3.75
Rice,51,28,47,28.5,75.2,6.48,254.4,3.66
Rice,53,30,42,23.0,69.3,6.68,242.0,3.7
Rice,78,35,46,23.6,88.8,6.09,230.2,3.98
Rice,85,42,31,24.0,86.4,6.81,211.6,3.96
Rice,84,22,47,23.8,78.7,7.32,236.6,3.88
Rice,70,42,30,27.8,83.2,5.69,249.0,3.83
Rice,76,29,38,19.6,97.9,6.3,252.8,3.75
Rice,94,32,20,21.7,82.4,6.66,237.8,3.73
Rice,64,30,41,24.9,82.0,5.57,221.4,3.59
Rice,63,46,23,28.2,70.2,6.41,218.2,3.52
Rice,67,33,32,25.9,76.1,7.1,217.1,3.51
Rice,87,38,38,20.8,97.9,5.87,211.8,3.66
Rice,71,46,26,23.1,71.7,6.37,249.3,3.58
Rice,74,25,36,22.9,88.7,6.99,208.2,3.76
Rice,43,22,44,21.0,76.3,6.04,232.0,3.69
Rice,69,37,36,25.1,84.9,7.17,221.6,3.82
Rice,85,39,28,25.1,68.4,5.75,201.4,3.63
Rice,50,39,34,23.2,70.1,5.89,225.0,3.7
Rice,78,38,47,24.5,81.7,6.14,202.0,3.9
Rice,43,30,20,20.5,92.3,6.51,279.8,3.33
Rice,78,31,43,23.9,68.3,7.01,191.7,3.68
Rice,55,35,24,23.6,90.0,6.6,261.1,3.43
Rice,46,41,43,22.7,92.6,6.93,192.7,3.71
Rice,95,22,43,26.4,75.4,6.4,283.1,3.67
Rice,85,32,47,26.6,73.4,6.67,265.3,3.78
Rice,79,37,24,20.5,72.4,5.64,208.3,3.55
Rice,55,35,29,26.0,75.1,7.2,214.0,3.74
Rice,78,22,46,26.7,95.7,7.22,282.5,3.48
Rice,88,26,39,27.2,90.6,6.48,252.6,3.8
Rice,55,31,32,25.3,94.5,6.53,197.6,3.48
Rice,92,30,46,22.3,65.7,6.95,261.9,3.89
Rice,65,38,30,19.8,83.1,6.36,209.4,3.57
Rice,55,43,29,24.7,84.2,6.2,234.6,3.82
Rice,42,22,41,23.6,69.7,6.39,269.8,3.33
Rice,93,25,39,20.5,86.9,7.34,203.8,3.61
Rice,76,27,30,27.9,71.0,6.12,226.2,3.66
Rice,53,38,39,19.2,81.2,5.97,201.3,3.73
Rice,40,39,42,28.7,79.5,5.66,201.3,3.57
Rice,80,22,28,27.7,70.1,6.99,261.8,3.38
Rice,95,23,34,19.3,86.9,6.93,230.3,3.72
Rice,48,31,39,27.5,68.4,6.99,198.3,3.55
Rice,61,46,28,20.5,74.7,6.6,196.8,3.7
Rice,74,41,39,27.3,87.2,6.53,217.3,3.86
Rice,81,28,21,27.8,96.9,5.74,235.5,3.51
Rice,73,34,47,28.7,96.2,7.2,201.3,3.72
Rice,60,39,41,28.4,90.9,5.66,190.4,3.57
Rice,42,21,42,24.1,86.2,6.34,236.1,3.68
Rice,44,35,37,21.9,75.8,5.92,237.1,3.75
Rice,70,30,37,27.2,87.9,6.89,195.0,3.73
Rice,87,21,22,23.4,80.5,6.13,246.3,3.69
Rice,81,23,39,25.9,71.0,6.54,278.8,3.77
Rice,80,24,23,26.7,74.4,7.03,272.5,3.33
Rice,85,27,21,26.0,84.5,6.41,196.1,3.54
Rice,67,35,30,21.6,69.0,6.93,243.0,3.54
Rice,68,21,44,21.5,81.1,5.82,225.0,3.84
Rice,88,35,45,26.3,79.4,6.34,219.2,4.03
Rice,55,22,30,24.0,95.2,7.09,205.7,3.61
Rice,93,21,33,21.9,93.3,6.6,219.7,3.48
Rice,51,35,28,25.2,80.8,6.49,244.7,3.74
Rice,50,45,41,21.6,65.8,5.98,227.5,3.68
Rice,87,44,46,19.2,87.2,6.94,268.9,3.77
Rice,69,26,33,19.8,98.3,5.71,256.0,3.65
Rice,90,34,39,22.8,97.6,5.71,196.8,3.62
Rice,85,22,35,23.4,97.2,6.03,211.2,3.57
Rice,84,39,40,22.3,74.5,5.92,195.9,3.95
Rice,72,24,24,23.7,78.9,7.41,239.4,3.45
Rice,57,27,23,20.7,88.1,6.88,266.8,3.27
Rice,86,29,22,21.6,77.3,6.85,237.3,3.57
Rice,95,20,31,23.5,90.1,6.43,212.4,3.77
Rice,47,20,43,28.6,69.9,6.25,266.6,3.51
Rice,76,36,27,27.0,66.3,7.28,194.9,3.55
Rice,47,45,43,22.4,67.0,5.85,232.3,3.79
Rice,86,31,20,25.8,71.3,5.89,209.1,3.5
Rice,89,20,37,21.6,75.3,6.6,227.7,3.55
Rice,55,23,25,27.7,82.8,7.09,248.3,3.53
Rice,95,41,30,24.4,81.5,6.5,275.0,3.83
Rice,50,28,26,27.8,91.1,7.46,194.3,3.36
Rice,82,47,47,20.2,87.1,7.12,214.0,4.09
Rice,43,47,26,27.3,91.8,7.16,222.3,3.67
Rice,49,36,42,25.9,95.6,6.89,191.5,3.79
Rice,71,35,25,28.7,94.5,6.13,235.3,3.59
Rice,45,26,26,24.3,65.6,5.92,275.4,3.23
Rice,80,45,43,22.3,66.3,7.31,244.2,4.01
Rice,87,44,46,22.8,96.5,5.72,226.1,3.88
Rice,47,24,46,26.8,97.1,5.86,250.1,3.7
Rice,78,46,42,21.3,84.9,6.12,205.4,3.99
Rice,47,40,46,28.3,78.4,7.41,282.7,3.48
Rice,73,45,47,21.3,84.2,5.8,277.2,3.97
Rice,53,47,24,27.7,68.5,6.77,255.7,3.71
Rice,65,27,26,19.9,74.0,5.53,199.0,3.39
Rice,81,47,44,23.9,78.0,5.72,240.3,4.0
Rice,88,38,39,20.8,68.0,6.1,268.6,3.74
Rice,93,22,24,22.8,89.6,7.28,240.4,3.44
Rice,73,37,33,19.5,96.5,7.26,204.4,3.49
Rice,45,25,25,25.9,89.3,6.04,257.7,3.32
Rice,53,21,36,27.3,70.6,6.36,222.9,3.42
Rice,77,36,25,19.4,71.2,5.68,216.3,3.71
Rice,57,31,33,25.5,68.6,5.89,240.2,3.73
Rice,60,32,27,23.7,73.0,5.65,214.2,3.64
Rice,77,22,29,24.4,97.4,6.6,244.5,3.71
Rice,85,31,34,27.5,81.2,6.45,272.0,3.59
Rice,90,40,34,27.8,91.9,6.73,252.8,3.68
Rice,82,24,47,28.5,92.1,6.35,200.7,3.88
Rice,64,47,37,27.2,74.1,7.31,274.8,3.56
Rice,61,31,29,21.9,80.6,7.06,271.3,3.61
Rice,69,31,31,20.6,84.9,7.36,260.4,3.75
Rice,71,22,28,24.3,76.9,6.27,227.6,3.59
Rice,74,21,27,20.6,85.6,5.6,254.3,3.63
Rice,58,26,40,28.0,95.0,7.12,190.7,3.44
Rice,55,33,39,20.1,94.1,7.42,201.5,3.54
Rice,86,27,31,25.4,71.8,7.13,208.8,3.74
Rice,82,44,42,24.1,70.8,6.51,218.2,3.84
Rice,87,44,20,21.1,92.9,6.01,267.8,3.67
Rice,91,39,27,27.1,82.2,5.77,248.8,3.6
Rice,60,36,24,27.6,84.8,5.84,221.8,3.7
Rice,81,39,27,22.9,70.9,7.41,242.8,3.86
Rice,76,38,27,23.1,66.3,7.02,262.5,3.48
Rice,91,38,36,19.3,73.9,6.12,264.8,3.97
Rice,75,31,30,22.5,73.9,6.85,232.9,3.81
Rice,62,22,34,25.6,93.3,6.79,224.1,3.59
Rice,56,23,21,28.7,86.6,6.03,270.1,3.4
Rice,89,28,24,26.5,95.1,7.09,264.8,3.6
Rice,76,39,40,25.5,98.3,6.34,213.3,3.77
Rice,41,39,36,21.0,89.4,6.57,209.8,3.72
Rice,90,38,34,27.3,93.2,5.88,271.5,3.6
Rice,47,27,42,26.5,71.6,6.18,253.0,3.44
Rice,59,40,28,26.8,76.5,6.1,213.4,3.77
Rice,66,44,36,28.3,67.9,6.5,272.8,3.86
Rice,61,28,21,27.4,70.1,6.32,207.7,3.45
Rice,90,32,28,26.1,91.1,6.76,234.8,3.62
Rice,75,20,27,26.5,71.1,6.48,261.0,3.6
Rice,44,37,37,23.1,97.3,5.6,225.0,3.49
Rice,60,20,29,27.2,71.9,6.75,252.7,3.36
Rice,78,29,23,22.9,84.9,7.13,204.6,3.51
Rice,56,40,36,22.4,94.7,6.19,282.8,3.8
Rice,60,25,46,28.0,78.8,6.94,210.4,3.5
Rice,81,36,24,22.7,86.9,7.23,192.3,3.55
Rice,69,21,47,25.6,87.0,6.87,190.7,3.61
Rice,61,35,33,20.7,88.4,6.11,248.3,3.71
Rice,77,27,36,20.5,92.8,6.93,198.7,3.48
Rice,46,22,25,21.1,74.2,5.92,238.2,3.44
Rice,56,21,33,21.2,96.2,5.53,220.0,3.48
Rice,90,43,38,20.6,68.6,6.94,237.1,3.74
Rice,54,26,47,22.0,80.8,5.87,198.2,3.46
Rice,56,42,28,26.3,68.7,5.61,260.4,3.71
Rice,77,24,30,23.4,86.0,5.71,271.7,3.7
Rice,50,31,46,21.8,78.3,7.08,269.1,3.71
Rice,84,23,39,19.8,96.5,6.34,203.8,3.67
Rice,84,38,25,22.8,77.4,6.86,191.5,3.84
Rice,94,23,45,20.3,79.1,6.04,193.1,3.66
Rice,79,38,41,24.7,84.1,6.83,281.1,3.8
Rice,69,39,22,25.6,73.8,6.84,221.4,3.6
Rice,86,35,47,19.7,86.7,7.18,203.6,3.96
Rice,88,22,33,21.5,97.4,5.96,193.6,3.62
Rice,62,26,32,26.9,80.3,6.4,269.7,3.43
Rice,67,38,22,23.2,83.9,5.7,188.8,3.62
Rice,74,28,34,21.2,87.6,6.23,278.5,3.47
Rice,52,32,35,25.1,81.1,6.92,250.8,3.51
Rice,82,26,29,27.2,97.2,6.54,216.4,3.67
Rice,42,24,23,26.1,89.3,6.72,198.9,3.23
Rice,92,31,32,26.7,89.1,6.33,199.0,3.88
Rice,86,36,41,23.5,87.2,5.79,279.1,3.85
Rice,69,21,46,27.3,81.4,7.32,236.8,3.57
Rice,72,40,23,22.9,85.3,6.51,272.1,3.65
Rice,94,45,41,21.8,97.2,6.41,280.4,3.76
Rice,63,39,40,22.1,88.6,6.91,270.1,3.92
Rice,75,25,37,22.0,76.9,7.44,252.3,3.71
Rice,93,34,39,22.3,69.4,6.46,222.1,3.88
Rice,77,31,40,27.3,75.0,7.1,268.8,3.72
Rice,41,24,38,21.1,90.2,6.08,204.0,3.37
Rice,87,39,28,26.4,66.7,5.72,265.6,3.83
Rice,81,44,40,24.6,73.4,7.08,262.8,3.83
Rice,77,45,30,28.4,97.6,6.6,218.3,3.56
Rice,54,37,41,27.6,92.8,6.9,274.8,3.7
Rice,82,35,36,26.7,97.2,5.87,216.6,3.8
Rice,50,24,34,22.8,79.7,5.78,241.3,3.58
Rice,54,29,39,20.7,70.6,5.62,219.3,3.71
Rice,74,38,33,24.7,77.3,6.14,262.8,3.67
Rice,50,21,34,23.2,83.2,5.96,197.5,3.38
Rice,58,30,26,26.4,83.0,7.13,282.9,3.65
